"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1179","Проверка перехода в раздел «Лента заказов» по клику на кнопку Лента заказов в шапке","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","193","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","7948","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","55","Проверка увеличения счетчика ингредиента после добавления в заказ","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","8014","При создании заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","118","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","8243","При создании заказа счётчик «Выполнено за всё время» увеличивается","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","8118","При создании заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","675","Проверка закрытия всплывающего окна по клику на крестик","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","8020","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","67","Проверка увеличения счетчика ингредиента после добавления в заказ","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","159","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","8065","При создании заказа счётчик «Выполнено за сегодня» увеличивается","tests","2026-05-11","passed","2026-05-11","TestOrderPage","test_order_feed","",""
"","168","Проверка перехода в раздел «Конструктор» по клику на кнопку «Конструктор» в шапке","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","126","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","699","Проверка закрытия всплывающего окна по клику на крестик","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","169","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","1142","Проверка перехода в раздел «Лента заказов» по клику на кнопку Лента заказов в шапке","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","164","Проверка перехода в раздел «Конструктор» по клику на кнопку «Конструктор» в шапке","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
"","117","Проверка открытия модального окна ингредиента кликом по ингредиенту","tests","2026-05-11","passed","2026-05-11","TestMainPage","test_main_page","",""
